step,timestamp,train_loss,val_loss
0,2025-07-12 10:19:14,11.000360,10.990478
1,2025-07-12 10:19:27,10.948817,
2,2025-07-12 10:19:40,10.873161,
3,2025-07-12 10:19:53,10.771770,
4,2025-07-12 10:20:05,10.653698,
5,2025-07-12 10:20:19,10.521049,
6,2025-07-12 10:20:31,10.461270,
7,2025-07-12 10:20:43,10.329898,
8,2025-07-12 10:20:56,10.215989,
9,2025-07-12 10:21:09,10.253119,
10,2025-07-12 10:21:23,10.127668,
11,2025-07-12 10:21:36,10.053733,
12,2025-07-12 10:21:48,10.042700,
13,2025-07-12 10:22:02,10.008317,
14,2025-07-12 10:22:14,9.993036,
15,2025-07-12 10:22:28,9.950291,
16,2025-07-12 10:22:40,10.000138,
17,2025-07-12 10:22:54,9.924117,
18,2025-07-12 10:23:07,9.866635,
19,2025-07-12 10:23:21,9.877072,
20,2025-07-12 10:23:34,9.887426,
21,2025-07-12 10:23:47,9.876035,
22,2025-07-12 10:23:59,9.981047,
23,2025-07-12 10:24:12,9.946704,
24,2025-07-12 10:24:24,9.960362,
25,2025-07-12 10:24:36,9.896080,
26,2025-07-12 10:24:49,9.825711,
27,2025-07-12 10:25:02,9.838978,
28,2025-07-12 10:25:14,9.821238,
29,2025-07-12 10:25:27,9.807777,
30,2025-07-12 10:25:40,9.754025,
31,2025-07-12 10:25:53,9.745988,
32,2025-07-12 10:26:06,9.718603,
33,2025-07-12 10:26:19,9.627907,
34,2025-07-12 10:26:32,9.525176,
35,2025-07-12 10:26:45,9.331325,
36,2025-07-12 10:26:57,9.365232,
37,2025-07-12 10:27:09,9.374786,
38,2025-07-12 10:27:22,9.336217,
39,2025-07-12 10:27:34,9.333840,
40,2025-07-12 10:27:47,9.413001,
41,2025-07-12 10:27:59,9.388879,
42,2025-07-12 10:28:11,9.335002,
43,2025-07-12 10:28:23,9.249852,
44,2025-07-12 10:28:36,9.238356,
45,2025-07-12 10:28:49,9.187223,
46,2025-07-12 10:29:02,9.146972,
47,2025-07-12 10:29:15,9.161823,
48,2025-07-12 10:29:27,9.129983,
49,2025-07-12 10:29:40,9.059172,
50,2025-07-12 10:29:56,9.043995,9.064956
51,2025-07-12 10:30:08,8.973797,
52,2025-07-12 10:30:21,9.217212,
53,2025-07-12 10:30:33,9.236049,
54,2025-07-12 10:30:46,9.196008,
55,2025-07-12 10:30:58,9.159409,
56,2025-07-12 10:31:11,9.100399,
57,2025-07-12 10:31:24,9.038452,
58,2025-07-12 10:31:36,8.983264,
59,2025-07-12 10:31:48,8.962362,
60,2025-07-12 10:32:02,8.916455,
61,2025-07-12 10:32:14,8.858636,
62,2025-07-12 10:32:27,8.859720,
63,2025-07-12 10:32:40,8.808208,
64,2025-07-12 10:32:51,8.755853,
65,2025-07-12 10:33:05,8.713229,
66,2025-07-12 10:33:18,8.717588,
67,2025-07-12 10:33:31,8.674020,
68,2025-07-12 10:33:43,8.675004,
69,2025-07-12 10:33:56,8.616401,
70,2025-07-12 10:34:09,8.600128,
71,2025-07-12 10:34:22,8.482892,
72,2025-07-12 10:34:34,8.457891,
73,2025-07-12 10:34:46,8.432178,
74,2025-07-12 10:34:58,8.410376,
75,2025-07-12 10:35:10,8.315037,
76,2025-07-12 10:35:21,8.493609,
77,2025-07-12 10:35:33,8.621295,
78,2025-07-12 10:35:45,8.563730,
79,2025-07-12 10:35:57,8.511681,
80,2025-07-12 10:36:10,8.495302,
81,2025-07-12 10:36:22,8.403715,
82,2025-07-12 10:36:34,8.408771,
83,2025-07-12 10:36:46,8.361836,
84,2025-07-12 10:36:58,8.389072,
85,2025-07-12 10:37:11,8.273561,
86,2025-07-12 10:37:24,8.280149,
87,2025-07-12 10:37:36,8.251254,
88,2025-07-12 10:37:49,8.277246,
89,2025-07-12 10:38:01,8.370667,
90,2025-07-12 10:38:14,8.205599,
91,2025-07-12 10:38:25,8.133319,
92,2025-07-12 10:38:37,8.347652,
93,2025-07-12 10:38:49,8.279747,
94,2025-07-12 10:39:02,8.173826,
95,2025-07-12 10:39:15,8.079392,
96,2025-07-12 10:39:28,8.066922,
97,2025-07-12 10:39:40,8.090384,
98,2025-07-12 10:39:53,7.977057,
99,2025-07-12 10:40:05,7.856959,
100,2025-07-12 10:40:20,8.012403,7.955456
101,2025-07-12 10:40:32,8.110546,
102,2025-07-12 10:40:44,7.887149,
103,2025-07-12 10:40:56,7.835474,
104,2025-07-12 10:41:09,7.913045,
105,2025-07-12 10:41:22,8.030195,
106,2025-07-12 10:41:34,8.012110,
107,2025-07-12 10:41:47,7.888572,
108,2025-07-12 10:41:59,7.902222,
109,2025-07-12 10:42:11,7.904130,
110,2025-07-12 10:42:24,7.922087,
111,2025-07-12 10:42:35,7.955591,
112,2025-07-12 10:42:47,7.983781,
113,2025-07-12 10:43:00,7.967921,
114,2025-07-12 10:43:12,7.872849,
115,2025-07-12 10:43:25,7.857379,
116,2025-07-12 10:43:37,7.765187,
117,2025-07-12 10:43:49,7.843626,
118,2025-07-12 10:44:03,7.892564,
119,2025-07-12 10:44:15,7.797910,
120,2025-07-12 10:44:28,7.740469,
121,2025-07-12 10:44:41,8.066359,
122,2025-07-12 10:44:52,8.256655,
123,2025-07-12 10:45:05,8.043246,
124,2025-07-12 10:45:18,7.710723,
125,2025-07-12 10:45:30,7.845054,
126,2025-07-12 10:45:43,7.855568,
127,2025-07-12 10:45:55,7.663785,
128,2025-07-12 10:46:09,7.783866,
129,2025-07-12 10:46:21,7.807029,
130,2025-07-12 10:46:33,7.759254,
131,2025-07-12 10:46:46,7.821122,
132,2025-07-12 10:46:59,7.906618,
133,2025-07-12 10:47:13,7.576954,
134,2025-07-12 10:47:26,7.400886,
135,2025-07-12 10:47:39,8.068281,
136,2025-07-12 10:47:53,7.958134,
137,2025-07-12 10:48:06,7.920637,
138,2025-07-12 10:48:20,7.902586,
139,2025-07-12 10:48:33,7.885480,
140,2025-07-12 10:48:46,7.937694,
141,2025-07-12 10:48:59,7.850669,
142,2025-07-12 10:49:12,7.748044,
143,2025-07-12 10:49:25,7.752726,
144,2025-07-12 10:49:38,7.745660,
145,2025-07-12 10:49:51,7.694640,
146,2025-07-12 10:50:04,7.701675,
147,2025-07-12 10:50:17,7.661664,
148,2025-07-12 10:50:30,7.678806,
149,2025-07-12 10:50:42,7.630247,
150,2025-07-12 10:50:57,7.622357,7.456339
151,2025-07-12 10:51:11,7.643899,
152,2025-07-12 10:51:24,7.596919,
153,2025-07-12 10:51:37,7.591281,
154,2025-07-12 10:51:50,7.597617,
155,2025-07-12 10:52:04,7.587304,
156,2025-07-12 10:52:16,7.570916,
157,2025-07-12 10:52:30,7.547220,
158,2025-07-12 10:52:42,7.583548,
159,2025-07-12 10:52:54,7.523775,
160,2025-07-12 10:53:08,7.503356,
161,2025-07-12 10:53:20,7.496670,
162,2025-07-12 10:53:32,7.427757,
163,2025-07-12 10:53:46,7.364247,
164,2025-07-12 10:53:59,7.371268,
165,2025-07-12 10:54:14,7.337500,
166,2025-07-12 10:54:27,7.297725,
167,2025-07-12 10:54:40,7.300260,
168,2025-07-12 10:54:53,7.292876,
169,2025-07-12 10:55:07,7.321449,
170,2025-07-12 10:55:20,7.267673,
171,2025-07-12 10:55:32,7.242492,
172,2025-07-12 10:55:45,7.298137,
173,2025-07-12 10:55:58,7.213203,
174,2025-07-12 10:56:11,7.193510,
175,2025-07-12 10:56:24,7.274944,
176,2025-07-12 10:56:36,7.189762,
177,2025-07-12 10:56:49,7.260355,
178,2025-07-12 10:57:02,7.258598,
179,2025-07-12 10:57:14,7.249184,
180,2025-07-12 10:57:28,7.215199,
181,2025-07-12 10:57:41,7.238408,
182,2025-07-12 10:57:53,7.139337,
183,2025-07-12 10:58:06,7.090785,
184,2025-07-12 10:58:19,7.125076,
185,2025-07-12 10:58:32,7.190002,
186,2025-07-12 10:58:45,7.177291,
187,2025-07-12 10:58:57,7.127368,
188,2025-07-12 10:59:10,7.161967,
189,2025-07-12 10:59:22,7.170609,
190,2025-07-12 10:59:36,7.165688,
191,2025-07-12 10:59:49,7.176121,
192,2025-07-12 11:00:01,7.156403,
193,2025-07-12 11:00:13,7.005220,
194,2025-07-12 11:00:25,6.902911,
195,2025-07-12 11:00:37,6.993441,
196,2025-07-12 11:00:50,7.030919,
197,2025-07-12 11:01:02,7.017751,
198,2025-07-12 11:01:15,7.170873,
199,2025-07-12 11:01:29,7.127990,
200,2025-07-12 11:01:43,7.141450,6.908059
201,2025-07-12 11:01:56,7.145581,
202,2025-07-12 11:02:09,7.316497,
203,2025-07-12 11:02:21,7.284827,
204,2025-07-12 11:02:33,7.074741,
205,2025-07-12 11:02:47,6.984120,
206,2025-07-12 11:02:59,7.228354,
207,2025-07-12 11:03:11,7.216183,
208,2025-07-12 11:03:23,7.160353,
209,2025-07-12 11:03:36,7.230176,
210,2025-07-12 11:03:49,7.462269,
211,2025-07-12 11:04:02,7.576547,
212,2025-07-12 11:04:14,7.320863,
213,2025-07-12 11:04:26,7.087819,
214,2025-07-12 11:04:39,6.921540,
215,2025-07-12 11:04:52,7.639998,
216,2025-07-12 11:05:05,7.618807,
217,2025-07-12 11:05:17,6.978549,
218,2025-07-12 11:05:28,6.996857,
219,2025-07-12 11:05:41,6.824954,
220,2025-07-12 11:05:54,7.107941,
221,2025-07-12 11:06:07,7.180872,
222,2025-07-12 11:06:20,7.164672,
223,2025-07-12 11:06:32,7.065774,
224,2025-07-12 11:06:44,6.948874,
225,2025-07-12 11:06:56,6.695814,
226,2025-07-12 11:07:08,6.700807,
227,2025-07-12 11:07:21,6.906713,
228,2025-07-12 11:07:34,6.956155,
229,2025-07-12 11:07:46,6.900882,
230,2025-07-12 11:07:59,7.116088,
231,2025-07-12 11:08:11,7.008207,
232,2025-07-12 11:08:23,6.776169,
233,2025-07-12 11:08:36,6.978812,
234,2025-07-12 11:08:48,6.891499,
235,2025-07-12 11:09:01,6.827109,
236,2025-07-12 11:09:14,7.167013,
237,2025-07-12 11:09:26,7.053420,
238,2025-07-12 11:09:38,6.700476,
239,2025-07-12 11:09:50,6.755856,
240,2025-07-12 11:10:04,6.720192,
241,2025-07-12 11:10:16,6.768937,
242,2025-07-12 11:10:27,6.824033,
243,2025-07-12 11:10:38,6.843632,
244,2025-07-12 11:10:51,6.906372,
245,2025-07-12 11:11:04,6.801285,
246,2025-07-12 11:11:16,6.857485,
247,2025-07-12 11:11:29,7.451641,
248,2025-07-12 11:11:42,7.576098,
249,2025-07-12 11:11:55,7.612257,
250,2025-07-12 11:12:09,7.339988,6.582437
251,2025-07-12 11:12:22,6.730860,
252,2025-07-12 11:12:34,6.942423,
253,2025-07-12 11:12:46,6.867304,
254,2025-07-12 11:12:58,7.327754,
255,2025-07-12 11:13:11,7.316690,
256,2025-07-12 11:13:23,7.181018,
257,2025-07-12 11:13:35,6.964832,
258,2025-07-12 11:13:48,6.699110,
259,2025-07-12 11:13:59,7.120511,
260,2025-07-12 11:14:12,6.906233,
