step,timestamp,train_loss,val_loss
0,2025-08-07 07:45:53,10.530050,10.527769
1,2025-08-07 07:46:01,10.479393,
2,2025-08-07 07:46:10,10.346660,
3,2025-08-07 07:46:18,10.244967,
4,2025-08-07 07:46:27,10.097265,
5,2025-08-07 07:46:36,9.969131,
6,2025-08-07 07:46:45,9.854523,
7,2025-08-07 07:46:53,9.841120,
8,2025-08-07 07:47:02,9.776891,
9,2025-08-07 07:47:10,9.537215,
10,2025-08-07 07:47:19,9.651601,
11,2025-08-07 07:47:28,9.595934,
12,2025-08-07 07:47:37,9.537994,
13,2025-08-07 07:47:45,9.481369,
14,2025-08-07 07:47:54,9.460375,
15,2025-08-07 07:48:03,9.467249,
16,2025-08-07 07:48:12,9.428810,
17,2025-08-07 07:48:20,9.410398,
18,2025-08-07 07:48:29,9.357759,
19,2025-08-07 07:48:38,9.285739,
20,2025-08-07 07:48:47,9.322104,
21,2025-08-07 07:48:55,9.335264,
22,2025-08-07 07:49:04,9.410442,
23,2025-08-07 07:49:13,9.373504,
24,2025-08-07 07:49:22,9.243206,
25,2025-08-07 07:49:30,9.235784,
26,2025-08-07 07:49:39,9.165708,
27,2025-08-07 07:49:48,8.931355,
28,2025-08-07 07:49:57,8.951900,
29,2025-08-07 07:50:05,9.157717,
30,2025-08-07 07:50:14,8.987658,
31,2025-08-07 07:50:23,8.952656,
32,2025-08-07 07:50:32,8.973944,
33,2025-08-07 07:50:40,8.863146,
34,2025-08-07 07:50:49,8.819677,
35,2025-08-07 07:50:58,8.851971,
36,2025-08-07 07:51:07,8.677262,
37,2025-08-07 07:51:15,8.652556,
38,2025-08-07 07:51:24,8.683275,
39,2025-08-07 07:51:33,8.610458,
40,2025-08-07 07:51:42,8.565948,
41,2025-08-07 07:51:50,8.540269,
42,2025-08-07 07:51:59,8.498888,
43,2025-08-07 07:52:08,8.445091,
44,2025-08-07 07:52:16,8.398139,
45,2025-08-07 07:52:25,8.400495,
46,2025-08-07 07:52:34,8.353350,
47,2025-08-07 07:52:43,8.338273,
48,2025-08-07 07:52:52,8.303648,
49,2025-08-07 07:53:00,8.269723,
50,2025-08-07 07:53:10,8.238257,8.445919
51,2025-08-07 07:53:19,8.210339,
52,2025-08-07 07:53:28,8.183060,
53,2025-08-07 07:53:36,8.132664,
54,2025-08-07 07:53:45,8.100086,
55,2025-08-07 07:53:54,8.070074,
56,2025-08-07 07:54:03,8.018504,
57,2025-08-07 07:54:11,8.000406,
58,2025-08-07 07:54:20,7.981994,
59,2025-08-07 07:54:29,7.956549,
60,2025-08-07 07:54:38,7.921257,
61,2025-08-07 07:54:46,7.874567,
62,2025-08-07 07:54:55,7.847750,
63,2025-08-07 07:55:04,7.829150,
64,2025-08-07 07:55:13,7.817775,
65,2025-08-07 07:55:22,7.815396,
66,2025-08-07 07:55:30,7.787404,
67,2025-08-07 07:55:39,7.731638,
68,2025-08-07 07:55:48,7.699400,
69,2025-08-07 07:55:56,7.636709,
70,2025-08-07 07:56:05,7.599471,
71,2025-08-07 07:56:14,7.571209,
72,2025-08-07 07:56:23,7.550221,
73,2025-08-07 07:56:31,7.505412,
74,2025-08-07 07:56:40,7.502714,
75,2025-08-07 07:56:49,7.473626,
76,2025-08-07 07:56:58,7.503260,
77,2025-08-07 07:57:06,7.467083,
78,2025-08-07 07:57:15,7.437004,
79,2025-08-07 07:57:24,7.422008,
80,2025-08-07 07:57:32,7.397915,
81,2025-08-07 07:57:41,7.370473,
82,2025-08-07 07:57:50,7.404480,
83,2025-08-07 07:57:59,7.364046,
84,2025-08-07 07:58:07,7.324763,
85,2025-08-07 07:58:16,7.378284,
86,2025-08-07 07:58:25,7.456164,
87,2025-08-07 07:58:34,7.406027,
88,2025-08-07 07:58:42,7.411352,
89,2025-08-07 07:58:51,7.415185,
90,2025-08-07 07:59:00,7.409236,
91,2025-08-07 07:59:09,7.479453,
92,2025-08-07 07:59:17,7.440234,
93,2025-08-07 07:59:26,7.448265,
94,2025-08-07 07:59:35,7.396365,
95,2025-08-07 07:59:44,7.461131,
96,2025-08-07 07:59:52,7.478325,
97,2025-08-07 08:00:01,7.375967,
98,2025-08-07 08:00:10,7.339753,
99,2025-08-07 08:00:18,7.184859,
100,2025-08-07 08:00:28,7.099089,7.286803
101,2025-08-07 08:00:37,7.001555,
102,2025-08-07 08:00:46,7.289809,
103,2025-08-07 08:00:54,7.342080,
104,2025-08-07 08:01:03,7.296389,
105,2025-08-07 08:01:12,7.283250,
106,2025-08-07 08:01:21,7.324510,
107,2025-08-07 08:01:29,7.306228,
108,2025-08-07 08:01:38,7.180589,
109,2025-08-07 08:01:47,7.087475,
110,2025-08-07 08:01:56,7.252410,
111,2025-08-07 08:02:04,7.209343,
112,2025-08-07 08:02:13,7.203461,
113,2025-08-07 08:02:22,7.145011,
114,2025-08-07 08:02:30,7.262526,
115,2025-08-07 08:02:39,7.222626,
116,2025-08-07 08:02:48,7.194887,
117,2025-08-07 08:02:57,7.171636,
118,2025-08-07 08:03:05,7.090048,
119,2025-08-07 08:03:14,6.957386,
120,2025-08-07 08:03:23,6.958624,
121,2025-08-07 08:03:32,6.946308,
122,2025-08-07 08:03:40,6.923545,
123,2025-08-07 08:03:49,7.071695,
124,2025-08-07 08:03:58,7.036804,
125,2025-08-07 08:04:07,7.004871,
126,2025-08-07 08:04:16,6.907510,
127,2025-08-07 08:04:24,6.737962,
128,2025-08-07 08:04:33,6.864783,
