step,timestamp,train_loss,val_loss
0,2025-07-10 12:37:52,10.543922,10.550301
1,2025-07-10 12:38:24,10.523883,
2,2025-07-10 12:38:55,10.433043,
3,2025-07-10 12:39:25,10.343485,
4,2025-07-10 12:39:57,10.237691,
5,2025-07-10 12:40:30,10.131233,
6,2025-07-10 12:41:00,10.021879,
7,2025-07-10 12:41:31,9.977955,
8,2025-07-10 12:42:01,9.888449,
9,2025-07-10 12:42:32,9.774837,
10,2025-07-10 12:43:03,9.807387,
11,2025-07-10 12:43:33,9.721751,
12,2025-07-10 12:44:03,9.645754,
13,2025-07-10 12:44:34,9.638783,
14,2025-07-10 12:45:06,9.601795,
15,2025-07-10 12:45:36,9.603218,
16,2025-07-10 12:46:05,9.561343,
17,2025-07-10 12:46:36,9.596678,
18,2025-07-10 12:47:07,9.565370,
19,2025-07-10 12:47:40,9.494071,
20,2025-07-10 12:48:12,9.474586,
21,2025-07-10 12:48:43,9.477387,
22,2025-07-10 12:49:14,9.494597,
23,2025-07-10 12:49:44,9.541867,
24,2025-07-10 12:50:16,9.562445,
25,2025-07-10 12:50:47,9.559000,
26,2025-07-10 12:51:18,9.548701,
27,2025-07-10 12:51:50,9.485484,
28,2025-07-10 12:52:23,9.445278,
29,2025-07-10 12:52:55,9.452928,
30,2025-07-10 12:53:28,9.428806,
31,2025-07-10 12:53:59,9.411656,
32,2025-07-10 12:54:32,9.354268,
33,2025-07-10 12:55:03,9.354504,
34,2025-07-10 12:55:35,9.326604,
35,2025-07-10 12:56:07,9.236103,
36,2025-07-10 12:56:38,9.132410,
37,2025-07-10 12:57:09,8.937582,
38,2025-07-10 12:57:42,8.970123,
39,2025-07-10 12:58:13,8.996207,
40,2025-07-10 12:58:46,8.949425,
41,2025-07-10 12:59:18,8.929847,
42,2025-07-10 12:59:50,8.995616,
43,2025-07-10 13:00:22,9.006448,
44,2025-07-10 13:00:51,8.946070,
45,2025-07-10 13:01:23,8.880472,
46,2025-07-10 13:01:53,8.848602,
47,2025-07-10 13:02:24,8.808484,
48,2025-07-10 13:02:54,8.776088,
49,2025-07-10 13:03:24,8.779465,
50,2025-07-10 13:03:58,8.763390,8.757645
51,2025-07-10 13:04:29,8.711089,
52,2025-07-10 13:04:58,8.673120,
53,2025-07-10 13:05:28,8.642644,
54,2025-07-10 13:05:59,8.644346,
55,2025-07-10 13:06:32,8.858245,
56,2025-07-10 13:07:02,8.841380,
57,2025-07-10 13:07:32,8.795138,
58,2025-07-10 13:08:02,8.786811,
59,2025-07-10 13:08:32,8.709623,
60,2025-07-10 13:09:04,8.670151,
61,2025-07-10 13:09:32,8.625963,
62,2025-07-10 13:10:00,8.595514,
63,2025-07-10 13:10:29,8.554230,
64,2025-07-10 13:10:57,8.510866,
65,2025-07-10 13:11:28,8.513896,
66,2025-07-10 13:11:58,8.473198,
67,2025-07-10 13:12:28,8.423555,
68,2025-07-10 13:12:58,8.393417,
69,2025-07-10 13:13:32,8.411345,
70,2025-07-10 13:14:04,8.351437,
71,2025-07-10 13:14:34,8.369042,
72,2025-07-10 13:15:04,8.326713,
73,2025-07-10 13:15:34,8.316587,
74,2025-07-10 13:16:04,8.254669,
75,2025-07-10 13:16:36,8.158766,
76,2025-07-10 13:17:09,8.170925,
77,2025-07-10 13:17:41,8.161417,
78,2025-07-10 13:18:11,8.120987,
79,2025-07-10 13:18:41,8.027039,
80,2025-07-10 13:19:12,8.418217,
81,2025-07-10 13:19:43,8.319997,
82,2025-07-10 13:20:14,8.307583,
83,2025-07-10 13:20:44,8.252924,
84,2025-07-10 13:21:15,8.231734,
85,2025-07-10 13:21:46,8.182592,
86,2025-07-10 13:22:17,8.198357,
87,2025-07-10 13:22:46,8.145317,
88,2025-07-10 13:23:16,8.163984,
89,2025-07-10 13:23:47,8.067194,
90,2025-07-10 13:24:18,8.080309,
91,2025-07-10 13:24:48,8.046415,
92,2025-07-10 13:25:19,8.079915,
93,2025-07-10 13:25:48,8.182997,
94,2025-07-10 13:26:18,8.029271,
95,2025-07-10 13:26:51,7.950180,
96,2025-07-10 13:27:23,8.163289,
97,2025-07-10 13:27:53,8.066331,
98,2025-07-10 13:28:24,8.071444,
99,2025-07-10 13:28:56,7.929703,
100,2025-07-10 13:29:29,7.891002,7.863431
101,2025-07-10 13:30:02,7.914601,
102,2025-07-10 13:30:31,7.869668,
103,2025-07-10 13:31:02,7.749246,
104,2025-07-10 13:31:31,7.683264,
105,2025-07-10 13:32:03,8.032780,
106,2025-07-10 13:32:34,7.837694,
107,2025-07-10 13:33:03,7.667730,
108,2025-07-10 13:33:32,7.685495,
109,2025-07-10 13:34:01,7.823833,
110,2025-07-10 13:34:33,7.884921,
111,2025-07-10 13:35:03,7.828730,
112,2025-07-10 13:35:33,7.709913,
113,2025-07-10 13:36:04,7.753379,
114,2025-07-10 13:36:33,7.741590,
115,2025-07-10 13:37:05,7.782832,
116,2025-07-10 13:37:36,7.783548,
117,2025-07-10 13:38:07,7.806521,
118,2025-07-10 13:38:39,7.778316,
119,2025-07-10 13:39:10,7.700455,
120,2025-07-10 13:39:43,7.697556,
121,2025-07-10 13:40:14,7.617829,
122,2025-07-10 13:40:44,7.687125,
123,2025-07-10 13:41:13,7.751926,
124,2025-07-10 13:41:42,7.640982,
125,2025-07-10 13:42:13,7.581249,
126,2025-07-10 13:42:42,7.843450,
127,2025-07-10 13:43:11,8.062073,
128,2025-07-10 13:43:42,7.948506,
129,2025-07-10 13:44:13,7.526887,
130,2025-07-10 13:44:43,7.568736,
131,2025-07-10 13:45:15,7.734905,
132,2025-07-10 13:45:44,7.482627,
133,2025-07-10 13:46:15,7.588579,
134,2025-07-10 13:46:46,7.584378,
135,2025-07-10 13:47:19,7.630410,
136,2025-07-10 13:47:50,7.600243,
137,2025-07-10 13:48:21,7.792641,
138,2025-07-10 13:48:51,7.297270,
139,2025-07-10 13:49:21,7.226218,
140,2025-07-10 13:49:52,7.578051,
141,2025-07-10 13:50:23,7.869813,
142,2025-07-10 13:50:54,7.744100,
143,2025-07-10 13:51:25,7.702870,
144,2025-07-10 13:51:56,7.700516,
145,2025-07-10 13:52:28,7.690503,
146,2025-07-10 13:53:00,7.730222,
147,2025-07-10 13:53:30,7.627612,
148,2025-07-10 13:54:00,7.545135,
149,2025-07-10 13:54:31,7.550378,
150,2025-07-10 13:55:06,7.532763,7.297658
151,2025-07-10 13:55:35,7.493029,
152,2025-07-10 13:56:08,7.511015,
153,2025-07-10 13:56:42,7.465186,
154,2025-07-10 13:57:18,7.465453,
155,2025-07-10 13:57:53,7.438234,
156,2025-07-10 13:58:25,7.406303,
157,2025-07-10 13:58:58,7.429856,
158,2025-07-10 13:59:28,7.407605,
159,2025-07-10 14:00:00,7.368932,
160,2025-07-10 14:00:33,7.373854,
161,2025-07-10 14:01:03,7.404236,
162,2025-07-10 14:01:32,7.352553,
163,2025-07-10 14:02:01,7.334885,
164,2025-07-10 14:02:32,7.339396,
165,2025-07-10 14:03:03,7.359699,
166प्रधानमन्त्री केपी ओली,2025-07-10 14:03:33,7.290872,
167,2025-07-10 14:04:04,7.287404,
168,2025-07-10 14:04:35,7.280993,
169,2025-07-10 14:05:05,7.167193,
170,2025-07-10 14:05:37,7.137746,
171,2025-07-10 14:06:09,7.148989,
172,2025-07-10 14:06:39,7.134181,
173,2025-07-10 14:07:09,7.071780,
174,2025-07-10 14:07:40,7.097457,
175,2025-07-10 14:08:11,7.067353,
176,2025-07-10 14:08:41,7.099832,
177,2025-07-10 14:09:12,7.055162,
178,2025-07-10 14:09:43,7.019868,
179,2025-07-10 14:10:13,7.077932,
180,2025-07-10 14:10:43,7.009143,
181,2025-07-10 14:11:12,6.980913,
182,2025-07-10 14:11:42,7.020981,
183,2025-07-10 14:12:14,6.994439,
184,2025-07-10 14:12:43,7.021248,
185,2025-07-10 14:13:14,7.043651,
186,2025-07-10 14:13:42,7.029330,
187,2025-07-10 14:14:12,7.021551,
188,2025-07-10 14:14:41,7.005159,
189,2025-07-10 14:15:12,6.959465,
190,2025-07-10 14:15:45,6.900123,
191,2025-07-10 14:16:15,6.886760,
192,2025-07-10 14:16:45,6.958322,
193,2025-07-10 14:17:17,6.962116,
194,2025-07-10 14:17:48,6.939464,
195,2025-07-10 14:18:22,6.926640,
196,2025-07-10 14:18:53,6.957199,
197,2025-07-10 14:19:25,6.948092,
198,2025-07-10 14:19:57,6.934686,
199,2025-07-10 14:20:29,6.954556,
200,2025-07-10 14:21:19,6.933123,6.774824
201,2025-07-10 14:21:49,6.747538,
202,2025-07-10 14:22:20,6.741558,
203,2025-07-10 14:22:50,6.799757,
204,2025-07-10 14:23:22,6.809107,
205,2025-07-10 14:23:54,6.837348,
206,2025-07-10 14:24:24,6.962442,
207,2025-07-10 14:24:49,6.912339,
208,2025-07-10 14:25:04,6.931860,
209,2025-07-10 14:25:17,6.934543,
210,2025-07-10 14:25:28,7.057168,
211,2025-07-10 14:25:40,7.152057,
212,2025-07-10 14:25:53,6.911539,
213,2025-07-10 14:26:07,6.824528,
214,2025-07-10 14:26:20,6.972058,
215,2025-07-10 14:26:34,6.997269,
216,2025-07-10 14:26:45,6.875679,
217,2025-07-10 14:26:56,7.001305,
218,2025-07-10 14:27:09,7.026296,
219,2025-07-10 14:27:21,7.441378,
220,2025-07-10 14:27:33,7.204079,
221,2025-07-10 14:27:45,7.071976,
222,2025-07-10 14:27:57,6.752774,
223,2025-07-10 14:28:10,6.898484,
224,2025-07-10 14:28:21,7.782088,
225,2025-07-10 14:28:33,7.028432,
226,2025-07-10 14:28:45,6.779166,
236,2025-07-10 14:30:45,6.748035,
237,2025-07-10 14:30:57,6.703393,
238,2025-07-10 14:31:09,6.727731,
239,2025-07-10 14:31:20,6.926270,
240,2025-07-10 14:31:32,6.840576,
241,2025-07-10 14:31:43,6.607590,
242,2025-07-10 14:31:54,6.773693,
243,2025-07-10 14:32:06,6.731153,
244,2025-07-10 14:32:18,6.574619,
245,2025-07-10 14:32:30,6.971106,
246,2025-07-10 14:32:42,6.917611,
247,2025-07-10 14:32:53,6.633686,
248,2025-07-10 14:33:05,6.461121,
249,2025-07-10 14:33:18,6.586679,
250,2025-07-10 14:33:31,6.527304,6.297737
251,2025-07-10 14:33:43,6.626851,
252,2025-07-10 14:33:55,6.647774,
253,2025-07-10 14:34:07,6.637653,
254,2025-07-10 14:34:19,6.724404,
255,2025-07-10 14:34:32,6.725663,
256,2025-07-10 14:34:44,6.820664,
257,2025-07-10 14:34:56,7.269251,
258,2025-07-10 14:35:09,7.321469,
259,2025-07-10 14:35:21,7.439170,
260,2025-07-10 14:35:33,6.994389,
261,2025-07-10 14:35:44,6.588199,
262,2025-07-10 14:35:56,6.842353,
263,2025-07-10 14:36:08,6.731845,
264,2025-07-10 14:36:20,7.191792,
265,2025-07-10 14:36:33,7.151735,
266,2025-07-10 14:36:44,6.961849,
267,2025-07-10 14:36:56,6.829637,
268,2025-07-10 14:37:08,6.551279,
269,2025-07-10 14:37:20,6.892622,
270,2025-07-10 14:37:32,6.740153,
271,2025-07-10 14:37:44,6.952309,
272,2025-07-10 14:37:56,6.968612,
273,2025-07-10 14:38:08,6.649524,
274,2025-07-10 14:38:22,6.529425,
275,2025-07-10 14:38:34,6.710417,
276,2025-07-10 14:38:46,7.620116,
277,2025-07-10 14:38:57,7.602848,
278,2025-07-10 14:39:10,7.385544,
279,2025-07-10 14:39:23,7.448881,
280,2025-07-10 14:39:37,7.233595,
281,2025-07-10 14:39:49,7.193547,
282,2025-07-10 14:40:00,7.042600,
283,2025-07-10 14:40:12,6.733266,
284,2025-07-10 14:40:25,6.649459,
285,2025-07-10 14:40:37,6.634971,
286,2025-07-10 14:40:49,6.682100,
287,2025-07-10 14:41:01,6.672094,
288,2025-07-10 14:41:13,6.669247,
289,2025-07-10 14:41:25,6.660153,
290,2025-07-10 14:41:37,6.554258,
291,2025-07-10 14:41:48,6.706247,
292,2025-07-10 14:41:59,6.860252,
293,2025-07-10 14:42:10,6.817223,
294,2025-07-10 14:42:22,6.742986,
295,2025-07-10 14:42:34,6.774908,
296,2025-07-10 14:42:46,6.765079,
297,2025-07-10 14:42:58,6.716372,
298,2025-07-10 14:43:10,6.674745,
