step,timestamp,train_loss,val_loss
0,2025-07-15 09:23:34,10.534690,10.522900
1,2025-07-15 09:24:10,10.494359,
2,2025-07-15 09:24:41,10.407860,
3,2025-07-15 09:25:20,10.345807,
4,2025-07-15 09:25:55,10.240497,
5,2025-07-15 09:26:30,10.126708,
6,2025-07-15 09:26:58,10.015940,
7,2025-07-15 09:27:27,9.925624,
8,2025-07-15 09:27:56,9.860653,
9,2025-07-15 09:28:26,9.902754,
10,2025-07-15 09:29:00,9.880982,
11,2025-07-15 09:29:28,9.865334,
12,2025-07-15 09:29:57,9.906804,
13,2025-07-15 09:30:27,9.847965,
14,2025-07-15 09:30:51,9.772198,
15,2025-07-15 09:31:22,9.708720,
16,2025-07-15 09:31:47,9.690797,
17,2025-07-15 09:32:12,9.612228,
18,2025-07-15 09:32:39,9.571854,
19,2025-07-15 09:33:11,9.549051,
20,2025-07-15 09:33:43,9.506149,
21,2025-07-15 09:34:13,9.706080,
22,2025-07-15 09:34:44,9.475841,
23,2025-07-15 09:35:15,9.419918,
24,2025-07-15 09:35:43,9.427494,
25,2025-07-15 09:36:14,9.413378,
26,2025-07-15 09:36:40,9.394833,
27,2025-07-15 09:37:10,9.306971,
28,2025-07-15 09:37:39,9.403556,
29,2025-07-15 09:38:04,9.308131,
30,2025-07-15 09:38:39,9.239060,
31,2025-07-15 09:39:14,9.226389,
32,2025-07-15 09:39:44,9.270695,
33,2025-07-15 09:40:12,9.288574,
34,2025-07-15 09:40:42,9.222617,
35,2025-07-15 09:41:13,9.159471,
36,2025-07-15 09:41:39,9.136824,
37,2025-07-15 09:42:10,9.119919,
38,2025-07-15 09:42:43,9.098332,
39,2025-07-15 09:43:12,9.075191,
40,2025-07-15 09:43:37,9.038856,
41,2025-07-15 09:44:07,9.015971,
42,2025-07-15 09:44:35,8.948163,
43,2025-07-15 09:45:04,8.958218,
44,2025-07-15 09:45:34,8.955064,
45,2025-07-15 09:46:10,8.988492,
46,2025-07-15 09:46:43,8.930642,
47,2025-07-15 09:47:20,8.859942,
48,2025-07-15 09:47:56,8.804728,
49,2025-07-15 09:48:31,8.874839,
50,2025-07-15 09:49:16,8.956409,8.684570
51,2025-07-15 09:49:48,8.829698,
52,2025-07-15 09:50:20,8.765206,
53,2025-07-15 09:50:50,8.708467,
54,2025-07-15 09:51:21,8.717244,
55,2025-07-15 09:51:53,8.618510,
56,2025-07-15 09:52:29,8.610430,
57,2025-07-15 09:53:02,8.568363,
58,2025-07-15 09:53:32,8.564664,
59,2025-07-15 09:54:08,8.542843,
60,2025-07-15 09:54:44,8.551778,
61,2025-07-15 09:55:13,8.363981,
62,2025-07-15 09:55:45,8.266887,
63,2025-07-15 09:56:22,8.419774,
64,2025-07-15 09:56:58,8.535336,
65,2025-07-15 09:57:35,8.445549,
66,2025-07-15 09:58:11,8.409932,
67,2025-07-15 09:58:44,8.374381,
68,2025-07-15 09:59:17,8.346907,
69,2025-07-15 09:59:45,8.349120,
70,2025-07-15 10:00:18,8.279385,
71,2025-07-15 10:00:47,8.207790,
72,2025-07-15 10:01:14,8.198959,
73,2025-07-15 10:01:43,8.175762,
74,2025-07-15 10:02:15,8.120480,
75,2025-07-15 10:02:47,8.114621,
76,2025-07-15 10:03:22,8.082452,
77,2025-07-15 10:03:54,8.061213,
78,2025-07-15 10:04:25,8.034586,
79,2025-07-15 10:04:59,8.002158,
80,2025-07-15 10:05:32,7.994526,
81,2025-07-15 10:05:52,7.967860,
82,2025-07-15 10:06:09,7.948147,
83,2025-07-15 10:06:26,7.925059,
84,2025-07-15 10:06:44,7.937150,
85,2025-07-15 10:07:03,7.899959,
