step,avg_train_loss,val_loss
0,8.516634293333333,9.057125666666666
50,8.177843715,8.61725875
100,7.917835719999999,8.2487718
150,7.388789224,7.398259
200,7.041385144,6.880788
250,6.81415214,6.5638942
300,6.65129486,6.323996800000001
350,6.480917624,6.150913399999999
400,6.280243304000001,6.0048091999999995
450,6.194900352,5.8470906
500,6.0208491440000005,5.692702
550,5.853331320000001,5.513981599999999
600,5.709733764,5.3109262
650,5.5674345039999995,5.1671536
700,5.354648719999999,5.037259199999999
750,5.166309708,4.8696942
800,5.056605492,4.7582662
850,4.943820872,4.6866746
900,4.86768442,4.6299708
950,4.760985868000001,4.579981399999999
1000,4.687126236,4.5507042
1050,4.569642816,4.470910399999999
1100,4.535515252000001,4.43962
1150,4.48026518,4.363124999999999
1200,4.443788024,4.2733814
1250,4.28522646,4.1710232
1300,4.070371908,4.1523794
1350,3.780684996,4.076633599999999
1400,3.722156004,4.017711
1450,3.681241936,3.9721531999999997
1500,3.758577424,3.9262372
1550,3.922447324,3.8448805999999998
1600,4.093265204,3.7964773999999997
1650,4.099818028,3.7580296000000004
1700,4.121299716,3.7299146
1750,4.206432100000001,3.7302694
1800,4.254987308,3.7385212
1850,4.235845592,3.7503318
1900,4.18265128,3.7185772
1950,4.196762747999999,3.7012898
2000,4.120041884,3.658995
2050,4.069755176,3.6109995999999995
2100,4.091442272,3.548594
2150,4.090474072,3.54465
2200,3.912415456,3.5199298
2250,3.7919606120000005,3.4981619999999998
2300,3.747658712,3.4889774000000005
2350,3.66857356,3.479632
2400,3.610378732,3.46446
2450,3.644504216,3.4661614
2500,3.657249376,3.4544356
2550,3.602027528,3.4317098
2600,3.6307752399999997,3.4172448
2650,3.6375212840000004,3.4045492000000004
2700,3.6808714559999998,3.3828063999999998
2750,3.565206852,3.3729053999999996
2800,3.410542032,3.3718538000000002
2850,3.202752946444444,3.37025
2900,3.083565863055555,3.3683935
2950,2.8174867707407407,3.3728743333333333
