step,avg_train_loss,val_loss
0,8.357626933333334,9.126559
50,8.058902575,8.63818925
100,7.829385064,8.2568322
150,7.209289944,7.3849350000000005
200,6.875224284000001,6.8546026
250,6.674112328,6.553397599999999
300,6.520309987999999,6.356580200000001
350,6.308240295999999,6.1638568
400,6.11102956,5.9105282
450,5.93472004,5.72466
500,5.797890576,5.634127
550,5.566219072000001,5.4247122
600,5.447406984000001,5.307779399999999
650,5.340020044,5.2373184
700,5.241338752,5.1756276
750,5.0447436,5.036272
800,4.9764382519999995,4.9270906
850,4.900991748,4.800919
900,4.85341728,4.6921946000000005
950,4.809551408,4.5839318
1000,4.68961298,4.5150554
1050,4.480082912,4.495051
1100,4.390451692000001,4.431737
1150,4.314302916000001,4.3529498
1200,4.258564396,4.2949128000000005
1250,4.350641811999999,4.2102654
1300,4.518919223999999,4.1460908000000005
1350,4.5425654280000005,4.1329382
1400,4.513079904,4.0997998
1450,4.557466148,4.0501233999999995
1500,4.532471795999999,4.01366
1550,4.456896776,3.9423302
1600,4.390054699999999,3.8545124
1650,4.319244360000001,3.8103186
1700,4.146658832,3.7888678
1750,4.0763516520000005,3.7658534
1800,3.990426876,3.7434136000000002
1850,3.9092196479999997,3.7398126000000005
1900,3.8841193400000003,3.7343919999999997
1950,3.873942252,3.7122256
2000,3.8553170999999997,3.6731614
2050,3.8631757440000003,3.6579971999999996
2100,3.902359348,3.6282392000000003
2150,3.761448212,3.6100173999999994
2200,3.6102255399999996,3.5997703999999997
2250,3.5031765399999997,3.608759
2300,3.50301828,3.59326
2350,3.4727158520000003,3.5927798
2400,3.649731628,3.5802676
2450,3.8824258799999996,3.5680997999999997
2500,3.98405629,3.5533052499999997
2550,4.0058839866666665,3.553422666666666
